GPS	50.0863115	19.9547424	200
GPS	50.08636	19.95449	200
GPS	50.0864	19.95429	200
GPS	50.08664	19.95305	200
GPS	50.08679	19.95221	200
GPS	50.08683	19.95204	200
GPS	50.08687	19.95182	200
GPS	50.08689	19.95168	200
GPS	50.08693	19.95153	200
GPS	50.08693	19.95152	200
GPS	50.08695	19.95142	200
GPS	50.08696	19.95136	200
GPS	50.08698	19.95117	200
GPS	50.0869841	19.9511693	200
GPS	50.08711	19.95069	200
GPS	50.08734	19.94987	200
GPS	50.08746	19.94944	200
GPS	50.08753	19.94923	200
GPS	50.08769	19.94864	200
GPS	50.08781	19.94825	200
GPS	50.08787	19.94807	200
GPS	50.08793	19.9479	200
GPS	50.08799	19.9477	200
GPS	50.08814	19.94734	200
GPS	50.08831	19.94701	200
GPS	50.08848	19.94669	200
GPS	50.08867	19.94633	200
GPS	50.08881	19.94606	200
GPS	50.08915	19.94536	200
GPS	50.08943	19.94482	200
GPS	50.08947	19.94476	200
GPS	50.08962	19.94448	200
GPS	50.0901	19.94356	200
GPS	50.0905	19.94278	200
GPS	50.0907	19.9424	200
GPS	50.09093	19.94184	200
GPS	50.09097	19.94175	200
GPS	50.09107	19.94143	200
GPS	50.09125	19.94084	200
GPS	50.09133	19.94053	200
GPS	50.09139	19.94021	200
GPS	50.09145	19.93985	200
GPS	50.09148	19.93966	200
GPS	50.09152	19.93935	200
GPS	50.09152	19.93931	200
GPS	50.09165	19.93799	200
GPS	50.09178	19.93666	200
GPS	50.09181	19.93626	200
GPS	50.09182	19.93591	200
GPS	50.09182	19.93559	200
GPS	50.09183	19.9354	200
GPS	50.09181	19.93524	200
GPS	50.09181	19.93509	200
GPS	50.0918	19.93492	200
GPS	50.09177	19.93469	200
GPS	50.09171	19.9342	200
GPS	50.0916	19.93327	200
GPS	50.09159	19.93318	200
GPS	50.0915	19.93242	200
GPS	50.09145	19.93202	200
GPS	50.09144	19.93172	200
GPS	50.09141	19.93128	200
GPS	50.09141	19.93113	200
GPS	50.0914	19.93058	200
GPS	50.09143	19.92937	200
GPS	50.09143	19.92915	200
GPS	50.09146	19.92793	200
GPS	50.09148	19.92698	200
GPS	50.09148	19.92694	200
GPS	50.09147	19.92622	200
GPS	50.09147	19.92621	200
GPS	50.09145	19.92578	200
GPS	50.0914	19.92509	200
GPS	50.09133	19.92453	200
GPS	50.09123	19.92381	200
GPS	50.09109	19.9228	200
GPS	50.09107	19.92262	200
GPS	50.09104	19.92243	200
GPS	50.09104	19.92238	200
GPS	50.09097	19.9219	200
GPS	50.09079	19.92069	200
GPS	50.09075	19.92041	200
GPS	50.09072	19.92023	200
GPS	50.09053	19.91903	200
GPS	50.09051	19.91889	200
GPS	50.09036	19.91803	200
GPS	50.09021	19.91731	200
GPS	50.09009	19.91686	200
GPS	50.0899	19.916	200
GPS	50.08986	19.91586	200
GPS	50.08972	19.91523	200
GPS	50.08965	19.91491	200
GPS	50.08961	19.9146	200
GPS	50.08955	19.91402	200
GPS	50.08952	19.91365	200
GPS	50.08951	19.91332	200
GPS	50.08951	19.91306	200
